id,example,source_type,source,shared_expression,literal_item,figurative_item,typical_item,atypical_item,classification,dead_metaphor_reactivation_score,word_order,semantic_distance_level,notes
"E001","He swallowed milk and kisses.","constructed","Shen 1998 discussion example; verify exact wording","swallowed","milk","kisses","milk","kisses","metaphor型","1","literal_to_figurative","moderate","Metaphorical extension is clear but not necessarily dead metaphor"
"E002","She opened the door and her heart.","constructed","common pedagogical zeugma example; source verification needed","opened","the door","her heart","the door","her heart","metonymy混合型","2","literal_to_figurative","moderate","Heart may stand for inner feelings; do not identify zeugma with metaphtonymy"
"E003","She broke his car and his heart.","constructed","common zeugma-style example; source verification needed","broke","his car","his heart","his car","his heart","metonymy混合型","2","literal_to_figurative","moderate","Break one's heart is conventional; body-part metonymy may be involved"
"E004","He lost his coat and his temper.","dictionary","classic zeugma/syllepsis example; verify in rhetoric dictionaries","lost","his coat","his temper","his coat","his temper","idiom literalization型","2","literal_to_figurative","moderate","Useful boundary case; may be idiom literalization rather than dead metaphor"
"E005","He fired his gun and his assistant.","constructed","common polysemy example; source verification needed","fired","his gun","his assistant","his gun","his assistant","polysemy型","0","literal_to_nonliteral","moderate","Counterexample; lexical polysemy dominates"
"E006","They covered the table and the scandal.","constructed","common zeugma-style example; source verification needed","covered","the table","the scandal","the table","the scandal","frame shift型","1","literal_to_figurative","moderate","Physical/social frame shift; not a core dead metaphor case"
"E007","He took his hat and his leave.","dictionary","classic zeugma example; verify in rhetoric dictionaries","took","his hat","his leave","his hat","his leave","不透明慣用句型","1","literal_to_idiom","moderate","Formulaic idiom; useful for separating idiom play from dead metaphor reactivation"
"E008","He caught a fish and a cold.","dictionary","classic zeugma example; verify in rhetoric dictionaries","caught","a fish","a cold","a fish","a cold","polysemy型","0","literal_to_conventional","moderate","Counterexample; conventional collocation but weak bodily foregrounding"
"E009","The farmer grew potatoes and tired.","constructed","classic-style zeugma example; source verification needed","grew","potatoes","tired","potatoes","tired","polysemy型","0","literal_to_state","moderate","Different complement type; useful syntactic contrast"
"E010","She served the soup and the family.","constructed","constructed for classification","served","the soup","the family","the soup","the family","polysemy型","0","literal_to_social","moderate","Service frame changes; not dead metaphor reactivation"
"E011","They broke the window and the silence.","constructed","constructed for this project","broke","the window","the silence","the window","the silence","dead metaphor 再活性化型","3","literal_to_figurative","moderate","Strong candidate; break silence is conventional and physical breaking is foregrounded"
"E012","She packed her suitcase and her worries.","constructed","constructed for this project","packed","her suitcase","her worries","her suitcase","her worries","metaphor型","1","literal_to_figurative","moderate","Packing worries is less conventional; may be novel metaphor rather than dead metaphor"
"E013","He carried a bag and a grudge.","constructed","constructed for this project","carried","a bag","a grudge","a bag","a grudge","dead metaphor 再活性化型","3","literal_to_figurative","moderate","Carry a grudge is conventional; physical carrying supports foregrounding"
"E014","She opened a bottle and a debate.","constructed","constructed for this project","opened","a bottle","a debate","a bottle","a debate","frame shift型","2","literal_to_figurative","moderate","Opening shifts from container to discourse frame"
"E015","He buried the treasure and the truth.","constructed","constructed for this project","buried","the treasure","the truth","the treasure","the truth","dead metaphor 再活性化型","2","literal_to_figurative","moderate","Bury the truth is conventional; concealment schema is fairly transparent"
"E016","She dropped the glass and the subject.","constructed","constructed for this project","dropped","the glass","the subject","the glass","the subject","idiom literalization型","2","literal_to_idiom","moderate","Drop the subject is conventional; useful idiom boundary"
"E017","They raised the flag and expectations.","constructed","constructed for this project","raised","the flag","expectations","the flag","expectations","dead metaphor 再活性化型","2","literal_to_figurative","moderate","Upward-motion schema may be visible but conventionality needs checking"
"E018","He lowered the blinds and his voice.","constructed","constructed for this project","lowered","the blinds","his voice","the blinds","his voice","dead metaphor 再活性化型","2","literal_to_figurative","moderate","Physical downward motion and vocal intensity are bridgeable"
"E019","She carried a bag and a theory.","constructed","constructed as distance test","carried","a bag","a theory","a bag","a theory","距離遠すぎ型","0","literal_to_abstract","too_far","Semantic integration is weak unless context supplies a bridge"
"E020","She carried a bag and a suitcase.","constructed","constructed as distance test","carried","a bag","a suitcase","a bag","a suitcase","距離近すぎ型","0","literal_to_literal","close","Normal coordination; little zeugma effect"
"E021","Miss Bolo went home in a flood of tears and a sedan-chair.","literary","Charles Dickens The Pickwick Papers; public-domain literary example","went home in","a sedan-chair","a flood of tears","a sedan-chair","a flood of tears","frame shift型","1","figurative_to_literal","moderate","Literary order-effect case; quote use should stay short"
"E022","He kicked the ball and the bucket.","constructed","constructed idiom-literalization test","kicked","the ball","the bucket","the ball","the bucket","不透明慣用句型","0","literal_to_idiom","moderate","Idiom is opaque; effect is wordplay rather than dead metaphor reactivation"
"E023","She carried her backpack and her fear.","constructed","constructed transparency test","carried","her backpack","her fear","her backpack","her fear","metaphor型","1","literal_to_figurative","moderate","Fear can be metaphorically carried but collocation is less fixed than carry a grudge"
"E024","He shouldered his pack and the blame.","constructed","constructed for this project","shouldered","his pack","the blame","his pack","the blame","dead metaphor 再活性化型","3","literal_to_figurative","moderate","Shoulder the blame has a transparent burden schema"
"E025","She unpacked her suitcase and her feelings.","constructed","constructed for this project","unpacked","her suitcase","her feelings","her suitcase","her feelings","frame shift型","2","literal_to_figurative","moderate","Modern discourse metaphor; depends on context and conventionality"
"E026","They opened the window and negotiations.","constructed","constructed frame-shift test","opened","the window","negotiations","the window","negotiations","frame shift型","1","literal_to_figurative","moderate","Discourse/institutional frame shift; weak bodily reactivation"
"E027","He poured wine and praise.","constructed","constructed for this project","poured","wine","praise","wine","praise","metaphor型","1","literal_to_figurative","moderate","Praise as fluid-like outpouring is plausible but conventionality needs checking"
"E028","She lifted the box and the mood.","constructed","constructed for this project","lifted","the box","the mood","the box","the mood","dead metaphor 再活性化型","2","literal_to_figurative","moderate","Upward-motion schema is transparent; good comparison with raise expectations"
"E029","He dropped the ball and his argument.","constructed","constructed contrast test","dropped","the ball","his argument","the ball","his argument","語彙選択不一致型","0","literal_to_abstract","unclear","Drop an argument is possible only in specific contexts; lexical fit is unstable"
"E030","She carried a bag and democracy.","constructed","constructed distance test","carried","a bag","democracy","a bag","democracy","距離遠すぎ型","0","literal_to_abstract","too_far","Too little bridge without a special political context"
"E031","They raised a glass and the issue.","constructed","constructed frame-shift test","raised","a glass","the issue","a glass","the issue","frame shift型","1","literal_to_figurative","moderate","Social ritual and discourse-initiation frames; not central dead metaphor"
"E032","She bore a child and a burden.","constructed","constructed polysemy/dead metaphor boundary test","bore","a child","a burden","a child","a burden","polysemy型","1","literal_to_figurative","moderate","Different senses of bear; possible burden schema but lexical polysemy is prominent"
